ID,Label,Latitude,Longitude,Elevation,Capacity
505,6 Ave & W 33 St,40.74901271,-73.98848395,42.80875253,52
3290,E 89 St & York Ave,40.7779453,-73.94604100000001,22.08691641,35
317,E 6 St & Avenue B,40.72453734,-73.98185424,56.81,54
3799,6 Ave & W 34 St,40.74964,-73.98805,44.73038993,30
3541,Amsterdam Ave & W 125 St,40.813358,-73.956461,21.4954,39
3668,Leonard St & Nassau Ave,40.7239567849954,-73.94984364509583,55.72,26
3140,1 Ave & E 78 St,40.77140426,-73.9535166,36.31908209,55
358,Christopher St & Greenwich St,40.73291553,-74.00711384,18.83161262,50
379,W 31 St & 7 Ave,40.749156,-73.9916,35.60104016,56
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,64.85,27
3673,Dean St & Franklin Ave,40.67759206937376,-73.95563721656801,86.29700000000001,21
3423,West Drive & Prospect Park West,40.6610633719006,-73.97945255041121,151.77271683,29
3766,Sharon St & Olive St,40.715353,-73.93856,26.91798375,24
3050,Putnam Ave & Throop Ave,40.6851532,-73.94111,50.952,21
174,E 25 St & 1 Ave,40.7381765,-73.97738662,15.2596,35
3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,23.383000000000003,40
3711,E 13 St & Avenue A,40.72966729392978,-73.98067966103555,54.53,47
461,E 20 St & 2 Ave,40.73587678,-73.98205027,19.32206297,56
3323,W 106 St & Central Park West,40.798185600000004,-73.96059090060001,80.44925474,59
518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,32.57469999,30
3782,Brooklyn Bridge Park - Pier 2,40.698458,-73.997178,46.54456055,31
2010,Grand St & Greene St,40.72170005235607,-74.00238141417502,87.52,65
3156,E 72 St & York Ave,40.76663814,-73.95348296,36.34112468,37
3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,12.44244898,30
3686,Gansevoort St & Hudson St,40.73944820130404,-74.00507032871245,106.40736862,39
405,Washington St & Gansevoort St,40.739323,-74.008119,9.60058292,51
3287,W 87 St & West End Ave,40.789621999999994,-73.97757,71.6293,47
3296,E 93 St & 2 Ave,40.78245417527987,-73.94891962409021,29.03056691,42
480,W 53 St & 10 Ave,40.76669671,-73.99061728,34.16767681,29
419,Carlton Ave & Park Ave,40.69580705,-73.97355569,38.8398,23
3177,W 84 St & Broadway,40.7867947,-73.977112,69.90030625,63
3599,Franklin Ave & Empire Blvd,40.663140000000006,-73.96056949999999,75.72509999,30
3429,Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863,48.35599999,39
3756,White St & Moore St,40.704508000000004,-73.9351,14.29679999,21
3364,Carroll St & 5 Ave,40.6751622,-73.9814832,104.1,27
3494,E 115 St & Lexington Ave,40.797911,-73.9423,22.75176011,25
116,W 17 St & 8 Ave,40.74177603,-74.00149746,100.23823054,30
514,12 Ave & W 40 St,40.76087502,-74.00277668,4.05766458,52
3882,Norman St & Wyckoff Ave,40.695170000000005,-73.90311,74.1584511,15
3619,Newtown Ave & 23 St,40.7713615,-73.9246145,31.6359751,19
3995,5 Ave & E 135 St,40.812191,-73.937838,14.43968371,21
307,Canal St & Rutgers St,40.71427487,-73.98990025,30.29349656,30
312,Allen St & Stanton St,40.722055,-73.989111,36.37990284,33
540,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,93.9,54
324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,32.37140553,74
3113,Greenpoint Ave & Manhattan Ave,40.730259999999994,-73.95394,31.59651986,27
350,Clinton St & Grand St,40.71559509,-73.9870295,36.1223462,47
3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,129.9,39
3157,East End Ave & E 86 St,40.77518615,-73.94446054,26.55158503,27
3081,Graham Ave & Grand St,40.711863,-73.944024,76.69,29
3725,2 Ave & E 72 St,40.7687620293096,-73.95840793848038,49.78939999,41
3148,E 84 St & 1 Ave,40.77565541,-73.95068615,107.02,31
472,E 32 St & Park Ave,40.745712100000006,-73.98194829,39.76857778,55
470,W 20 St & 8 Ave,40.74345335,-74.00004031,21.59000358,72
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,91.28,19
238,Bank St & Washington St,40.7361967,-74.00859207,12.83062713,31
530,11 Ave & W 59 St,40.771496710544405,-73.99046033620834,23.0972,24
3601,Sterling St & Bedford Ave,40.6627059,-73.9569115,63.47280231,19
391,Clark St & Henry St,40.69760127,-73.99344559,131.01,38
412,Forsyth St & Canal St,40.715815500000005,-73.99422366,45.0276,29
3499,2 Ave & E 122 St,40.8006721,-73.9349,12.2151,25
438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,88.65,47
420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,92.42689527,51
442,W 27 St & 7 Ave,40.746646999999996,-73.993915,31.07178094,51
3842,Bushwick Ave & Dekalb Ave,40.69502,-73.92825,54.37100557,29
525,W 34 St & 11 Ave,40.75594159,-74.0021163,31.0,56
3723,Cadman Plaza E & Johnson St,40.69531727766904,-73.99015724658966,78.06777650000001,30
536,1 Ave & E 30 St,40.74144387,-73.97536082,27.74139999,28
250,Lafayette St & Jersey St,40.72456089,-73.99565293,40.31059999,40
260,Broad St & Bridge St,40.70365182,-74.01167797,5.03659273,33
3016,Kent Ave & N 7 St,40.72036775298455,-73.96165072917937,17.7642,54
3108,Nassau Ave & Russell St,40.725570000000005,-73.94434,16.85658513,51
3834,Irving Ave & Halsey St,40.69467,-73.90663,68.0298,19
460,S 4 St & Wythe Ave,40.71285887,-73.96590294,38.92266176,25
408,Market St & Cherry St,40.71076228,-73.99400398,9.6771,23
3490,E 116 St & 2 Ave,40.796879,-73.93726099999999,15.39519627,31
3907,Central Ave & Melrose St,40.70112,-73.93039,54.28479999,17
305,E 58 St & 3 Ave,40.76095756,-73.96724467,48.20858095,33
3727,Frost St & Meeker Ave,40.71766197083994,-73.94880026578903,12.6162,38
401,Allen St & Rivington St,40.72019576,-73.98997825,75.98,42
416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,72.53713208,31
3143,5 Ave & E 78 St,40.77632142182271,-73.96427392959596,75.62669999,47
289,Monroe St & Classon Ave,40.684568299999995,-73.95881081,99.55,19
394,E 9 St & Avenue C,40.72521311,-73.97768752,74.82,30
3740,W Broadway & W Houston St,40.726378000000004,-74.000472,22.05515874,34
504,1 Ave & E 16 St,40.73221853,-73.98165557,15.09919999,54
3055,Greene Ave & Nostrand Ave,40.68833370000001,-73.950916,49.02800835,23
3320,Central Park West & W 100 St,40.794066608185524,-73.96286845207214,85.7874,30
3628,Lenox Ave & W 117 St,40.8025566,-73.9490782,21.07302192,31
293,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,39.53047533,54
3629,Adam Clayton Powell Blvd & W 126 St,40.809495347779475,-73.94776493310928,23.6654336,33
3812,University Pl & E 14 St,40.734814,-73.992085,38.78010351,49
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,21.22317692,51
3739,Perry St & Greenwich Ave,40.735918,-74.000939,68.87,37
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,43.79735494,37
467,Dean St & 4 Ave,40.68312489,-73.97895137,36.9789,34
482,W 15 St & 7 Ave,40.73935542,-73.99931783,26.61752384,79
3733,Avenue C & E 18 St,40.730563000000004,-73.973984,5.65559999,46
3391,E 106 St & 1 Ave,40.7892529,-73.93956237,8.01282508,25
3533,St. Nicholas Ave & W 126 St,40.8114323,-73.95187759999999,31.99594523,34
268,Howard St & Centre St,40.71910537,-73.99973337,15.0991,27
3066,Tompkins Ave & Hopkins St,40.69957608,-73.94708417,39.35,19
309,Murray St & West St,40.7149787,-74.013012,7.593766499999999,41
3283,W 89 St & Columbus Ave,40.7882213,-73.97041561,111.59092029,47
2008,Little West St & 1 Pl,40.70569254,-74.01677685,7.23099086,24
3151,E 81 St & York Ave,40.7728384,-73.94989233,103.81,43
3521,Lenox Ave & W 111 St,40.7987859,-73.9523,23.67474316,36
3145,E 84 St & Park Ave,40.77862688,-73.95772073,90.03801378,45
3676,Van Brunt St & Van Dyke St,40.675832943912894,-74.01472628116608,6.56849999,24
434,9 Ave & W 18 St,40.74317449,-74.00366443,14.80028001,60
368,Carmine St & 6 Ave,40.73038599,-74.00214988,17.06199333,47
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,33.00196671,30
3256,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,7.1129085000000005,23
3552,W 113 St & Broadway,40.805973,-73.964928,123.41986895,39
403,E 2 St & 2 Ave,40.72502876,-73.99069656,38.21087051,31
3092,Berry St & N 8 St,40.7190095,-73.95852515,81.97,27
3572,34 Ave & 38 St,40.756913,-73.921631,40.92999999,33
3867,Somers St & Broadway,40.67945,-73.90474,88.5553,29
3862,Linden St & Knickerbocker Ave,40.697140000000005,-73.91566,32.42209999,18
3453,Devoe St & Lorimer St,40.71335226222875,-73.9491033554077,28.05347332,19
212,W 16 St & The High Line,40.74334935,-74.00681753,11.73609999,60
455,1 Ave & E 44 St,40.75001986,-73.96905301,41.2354,59
3529,Lenox Ave & W 130 St,40.8107922,-73.9430681,23.59239999,25
3249,Verona Pl & Fulton St,40.680356084043396,-73.94767910242079,56.53029999,19
3763,Wyckoff Av & Jefferson St,40.707165,-73.923711,15.19336447,27
3617,28 Ave & 35 St,40.7671,-73.9169858,49.35,27
3357,W 106 St & Amsterdam Ave,40.80083629999999,-73.9664492472,269.7,35
466,W 25 St & 6 Ave,40.74395411,-73.99144871,38.2952691,35
447,8 Ave & W 52 St,40.76370739,-73.9851615,63.38349999,31
3509,Lenox Ave & W 115 St,40.8011939,-73.9500739,21.4382,31
262,Washington Park,40.6917823,-73.97372990000001,60.96550867,24
3289,W 90 St & Amsterdam Ave,40.79017948095081,-73.97288918495178,102.36382519,32
3823,Beaver St & Fayette St,40.700990000000004,-73.93921,31.5203,30
3687,E 33 St & 1 Ave,40.74322681432173,-73.97449783980845,11.44580107,83
3408,Congress St & Clinton St,40.6881529,-73.99520919,40.81729999,27
3362,Madison Ave & E 82 St,40.7781314,-73.96069399,89.52293154,34
487,E 20 St & FDR Drive,40.73314259,-73.97573881,6.80014999,35
355,Bayard St & Baxter St,40.71602118,-73.99974372,21.28520807,43
529,W 42 St & 8 Ave,40.75756989999999,-73.99098507,37.33149965,41
3778,Irving Ave & DeKalb Ave,40.7027,-73.92095,42.0363,27
3591,21 St & 31 Dr,40.7659,-73.930819,9.207615400000002,21
3746,6 Ave & Broome St,40.72430832160217,-74.00473035871983,14.80199999,48
